ID,record,uid,date,time,status,Survey_start,Survey_end,vqtable1r0,vqtable1r1,vqtable1r2,vqtable2r0,vqtable2r1,vqtable3r0,vqtable3r1,vqtable3r2,vqtable3r3,vqtable3r4,vqtable3r5,vqtable3r6,vqtable3r7,vqtable3r8,vqtable4r0,vqtable4r1,vqtable5r0,vqtable5r1,vqtable5r2,vqtable5r3,vqtable5r4,vqtable5r5,vqtable6r0,vqtable6r1,vqtable7r0,vterm
26,58,27abknxfdysdvrfp,08-10-2024,10PM,3,42:23.8,,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,
27,59,ifsf332zeurcplfj,08-11-2024,1AM,1,52:03.2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SUE 1 Eligibility Termination
28,67,lxtk0mhsnrpga227,08-11-2024,9AM,3,10:25.7,,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,
29,68,j201y3e568j3rtmf,08-11-2024,1PM,4,27:17.0,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unspecified terminates
30,69,20740kxlhnfn6cw8,08-11-2024,2PM,1,18:53.3,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,QS4 Have you participated in any surveys in the last 3 months
31,70,zwc2fk9vuein4vvh,08-11-2024,4PM,3,20:46.8,,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,
32,71,gn4fqwm6so6lzlpj,08-11-2024,6PM,3,29:50.4,,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,
33,72,2vhdz2ty782p4at4,08-11-2024,5PM,3,33:43.8,,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,
34,73,60rk0d2kh075a6zk,08-11-2024,5PM,3,05:07.0,,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,
35,74,f1ox3vyh2o8fnshc,08-11-2024,5PM,3,07:48.1,,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,
36,75,zp113okkopyekeo4,08-11-2024,5PM,3,16:08.8,,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,
37,76,9kzh9fcz3eec2cox,08-11-2024,7PM,3,19:11.5,,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,
38,77,80bvkbmyos6dgjci,08-11-2024,6PM,3,20:04.6,,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,
39,78,lme3o8tdyntp6moe,08-11-2024,5PM,3,26:56.9,,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,
40,79,e3q3iqwrljx6i04n,08-11-2024,5PM,1,31:58.9,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,QS4 Have you participated in any surveys in the last 3 months
41,80,4e5uo1vvmk32pbge,08-11-2024,6PM,3,49:25.2,,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,
42,81,cqbypbkki7hh9uof,08-11-2024,6PM,3,57:45.8,,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,
43,82,gv98jk55wijss7qx,08-11-2024,6PM,3,01:18.6,,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,
44,83,adbdhuscl2hv7qdh,08-11-2024,6PM,3,09:29.5,,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,
45,84,lgcphfmm1rdie6zq,08-11-2024,7PM,3,14:53.1,,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,
46,85,vzfanj5zxuzlwe54,08-11-2024,6PM,1,19:14.7,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SUE 1 Eligibility Termination
47,86,m5l2hyj7gpzyi2g6,08-11-2024,7PM,4,21:44.9,,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unspecified terminates
48,87,4vqt2n9mvc05ebr1,08-11-2024,7PM,1,49:31.6,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,QS4 Have you participated in any surveys in the last 3 months
49,88,7bunpc0ojle0mnzu,08-11-2024,7PM,3,55:57.4,,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,
50,89,enkjb7ebiaz4p1vv,08-11-2024,7PM,1,02:36.1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,QS4 Have you participated in any surveys in the last 3 months
51,100,xxx,08/13/2024,3AM,4,17:01.4,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unspecified terminates
52,101,xxx,08/13/2024,3AM,4,17:01.5,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unspecified terminates
53,102,xxx,08/13/2024,3AM,4,17:01.5,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unspecified terminates
54,103,nbiqkd8fcj9xwcxw,08/14/2024,12AM,3,18:12.7,,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,
55,104,5posshjw71pzjjju,08/13/2024,11PM,3,18:14.2,,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,
56,105,055p0yeifll1wx3g,08/13/2024,11PM,1,19:26.6,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,QS4 Have you participated in any surveys in the last 3 months
57,106,o99y169h9qdxsfa7,08/13/2024,11PM,1,19:29.7,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,QS4 Have you participated in any surveys in the last 3 months
58,107,d77ffvm7tftoqiba,08/13/2024,11PM,1,23:01.1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SUE 1 Eligibility Termination
59,108,9u6rxdrxplaj5nze,08/14/2024,12AM,3,23:21.2,,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,
60,109,myaps8xhzm7qej4l,08/13/2024,11PM,3,24:24.6,,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,
61,110,nkwhhnu7xwu5kl2b,08/13/2024,11PM,1,24:52.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SUE 1 Eligibility Termination
62,111,33buy8nnfkpjajyw,08/13/2024,11PM,3,26:07.2,,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,
63,112,6wm88gw1bk1v188h,08/14/2024,12AM,3,26:09.1,,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,
64,113,ougucrwa3wqv0ukw,08/13/2024,11PM,1,27:09.2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,QS4 Have you participated in any surveys in the last 3 months
65,114,rxiusfrn81igegpj,08/13/2024,11PM,3,27:42.8,,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,
66,115,uvl5b6xar4apwu9s,08/13/2024,11PM,3,29:14.6,,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,
67,116,wrnuhpwh5023h173,08/13/2024,11PM,3,29:28.5,,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,
68,117,uat3rc9hdbtkktbr,08/14/2024,12AM,3,29:51.5,,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,
69,118,7yogzos6fum9y70y,08/14/2024,12AM,3,34:09.7,,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,
70,119,y8pkiz0qox083d61,08/14/2024,12AM,3,34:35.3,,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,
71,120,8nlej5clf0zkjqj3,08/13/2024,11PM,1,37:40.9,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,QS4 Have you participated in any surveys in the last 3 months
72,121,1lq4yrhpjcdairri,08/13/2024,11PM,1,39:55.9,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,QS4 Have you participated in any surveys in the last 3 months
73,122,0r01uaxki806v6f4,08/13/2024,11PM,1,42:34.6,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SUE 1 Eligibility Termination
74,123,aye0ble9pvqf8ta1,08/14/2024,12AM,3,43:46.5,,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,
75,124,wdq22mrpv3d2stev,08/14/2024,12AM,3,47:41.6,,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,
76,125,k5gkdoe2tipugv2s,08/14/2024,12AM,3,50:11.9,,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,
77,126,iuctr9ybzbvdw76g,08/14/2024,12AM,1,52:55.6,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,QS4 Have you participated in any surveys in the last 3 months
78,127,f00rugwdbj0ixnfq,08/14/2024,12AM,1,58:33.1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SUE 1 Eligibility Termination
79,128,c0omag1htrdyqe6b,08/14/2024,12AM,1,05:21.1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SUE 1 Eligibility Termination
80,129,s0q6zwr9q2xpjlb0,08/14/2024,12AM,1,05:25.9,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,QS4 Have you participated in any surveys in the last 3 months
81,130,kjora4uq5eis8hbq,08/14/2024,12AM,3,12:13.5,,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,
82,131,9k9xpygqposoealp,08/14/2024,12AM,1,12:35.6,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,QS4 Have you participated in any surveys in the last 3 months
83,132,kugbsat38843h83x,08/14/2024,12AM,3,13:14.7,,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,
84,133,wia07wmgnsxdaw1s,08/14/2024,12AM,3,21:20.6,,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,
85,134,85ckhhzsl8gb3qta,08/14/2024,12AM,1,21:30.4,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SUE 1 Eligibility Termination
86,135,s6ce2d0t8pjan9og,08/14/2024,1AM,3,22:33.4,,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,
87,136,bcgvfcp1cr76af4w,08/14/2024,12AM,1,25:01.6,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SUE 1 Eligibility Termination
88,137,b10jrqy6rljr2m3o,08/14/2024,12AM,1,26:02.4,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SUE 1 Eligibility Termination
89,138,ay8l6eajtgl3ehcg,08/14/2024,12AM,1,26:47.8,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,QS4 Have you participated in any surveys in the last 3 months
90,139,4c11bpyjqa5qm9wt,08/14/2024,12AM,3,30:51.2,,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,
91,140,8dlw8o0vljowyf72,08/14/2024,1AM,3,31:19.5,,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,
92,141,g1emjqflwe9bemny,08/14/2024,1AM,1,38:27.3,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SUE 1 Eligibility Termination
93,142,6xmdhhzu9zq0ip20,08/14/2024,1AM,1,45:00.2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SUE 1 Eligibility Termination
94,143,5kzi5nlb5wkhr3z3,08/14/2024,1AM,3,45:16.1,,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,
95,144,fxpimbposnig4f5y,08/14/2024,1AM,3,50:44.6,,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,
96,145,a6gsrgljoka3i1ti,08/14/2024,1AM,3,58:42.5,,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,
97,146,qz18avhzdkzx89ik,08/14/2024,1AM,1,03:18.9,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SUE 1 Eligibility Termination
98,147,qbmkbe3zsr016ngl,08/14/2024,1AM,3,04:55.8,,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,
99,147,qbmkbe3zsr016ngl,08/14/2024,1AM,4,04:58.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unspecified terminates
100,149,pst4irue1noufveh,08/14/2024,1AM,1,05:42.3,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,QS12 Financial products owned
101,150,ns6bfqf7oynw488w,08/14/2024,1AM,3,07:25.0,,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,
102,151,m6zufku04rb4rtwn,08/14/2024,1AM,1,08:35.1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SUE 1 Eligibility Termination
103,152,ma1x0wvpvnfvbkja,08/14/2024,1AM,1,10:13.6,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,QS4 Have you participated in any surveys in the last 3 months
104,153,l8w345qadq7jy5vl,08/14/2024,1AM,3,12:48.7,,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,
105,154,e0w7tyv13td03rkd,08/14/2024,1AM,3,16:39.5,,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,
106,155,9xy8vxbe3z4fu13v,08/14/2024,1AM,3,21:19.6,,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,
107,156,3df2t479mwkx7r2f,08/14/2024,1AM,1,22:15.5,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SUE 1 Eligibility Termination
108,157,c1eb64uwxr1fi7mo,08/14/2024,1AM,1,23:34.7,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,QS4 Have you participated in any surveys in the last 3 months
109,158,kx6x979l7rhfvj7b,08/14/2024,2AM,3,32:42.2,,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,
110,159,bsdot0upcebajkv3,08/14/2024,1AM,1,32:47.7,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,QS4 Have you participated in any surveys in the last 3 months
111,160,1bl07tr25ep6dl8g,08/14/2024,2AM,3,33:16.0,,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,
112,161,32nxekl6iabaltrq,08/14/2024,1AM,3,35:16.5,,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,
113,162,3hggzsk51gpsmg4t,08/14/2024,2AM,3,46:09.6,,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,
114,163,02plseslqiq04hjd,08/14/2024,2AM,3,52:30.2,,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,
115,164,ko4g4iote8w9sucx,08/14/2024,2AM,1,52:39.6,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,QS4 Have you participated in any surveys in the last 3 months
116,165,wmqzw6ihdjves14b,08/14/2024,2AM,3,54:22.5,,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,
117,166,vse4nfqudqqp7udi,08/14/2024,2AM,3,55:30.3,,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,
118,167,cf9n014yri0vkk53,08/14/2024,2AM,1,01:31.3,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SUE 1 Eligibility Termination
119,168,ui7wxq4o9h0rdqpg,08/14/2024,2AM,1,04:03.7,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,QS12 Financial products owned
120,169,yxmpwwrtb3lw0i5j,08/14/2024,3AM,3,30:37.8,,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,
121,170,xbhdzqbroaenl8to,08/14/2024,3AM,3,47:35.2,,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,
122,171,eq94dkikvfjmsohr,08/14/2024,3AM,3,53:14.7,,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,
123,172,4sci10x3tvliu2r6,08/14/2024,3AM,3,55:35.7,,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,
124,173,2uy64phoav1afe6p,08/14/2024,5AM,3,58:11.8,,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,
125,174,v3ekfjfj6da6gmdh,08/14/2024,3AM,1,15:14.7,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,QS4 Have you participated in any surveys in the last 3 months
126,175,8dslqfg23iqypi4k,08/14/2024,3AM,3,32:56.2,,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,
127,176,4hfqc1pdqjnygr1z,08/14/2024,4AM,1,20:17.6,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SUE 1 Eligibility Termination
128,177,mo5n4b6v5hz4lzlx,08/14/2024,5AM,3,09:39.6,,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,
129,178,e7zanh32y7znvzby,08/14/2024,5AM,3,35:27.0,,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,
130,179,dctwviigpm0yn2ei,08/14/2024,6AM,3,07:14.8,,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,
131,180,dlmqo3c7rdxdkh7x,08/14/2024,6AM,1,08:00.4,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,QS9 Monthly Personal Income
132,181,id82268nqz1uxltd,08/14/2024,6AM,3,10:26.5,,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,
133,182,8i62b0s7u2u2qkig,08/14/2024,7AM,3,28:14.5,,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,
134,183,xngz9oxlku6pveqt,08/14/2024,8AM,3,49:29.0,,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,
135,184,3cpqvoqlwbsddlbq,08/14/2024,8AM,3,19:13.8,,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,
136,184,3cpqvoqlwbsddlbq,08/14/2024,8AM,4,19:29.7,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unspecified terminates
137,184,3cpqvoqlwbsddlbq,08/14/2024,8AM,4,19:30.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Unspecified terminates
138,187,qtukoe83gh3dnyxd,08/14/2024,8AM,1,31:16.1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SUE 1 Eligibility Termination
139,188,7t4vxxku654f84p8,08/14/2024,9AM,3,31:30.8,,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,
140,189,q9m65gk5fvsf09xg,08/14/2024,9AM,3,37:53.6,,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,
141,190,500quhhg065ig0jj,08/14/2024,9AM,3,47:27.6,,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,
